Area,"CO2 (Kt)",Sector,Date
Stockholm,14.862003,Residential,2024-01
Sydney,117.403681,Residential,2024-01
Tokyo,4821.950554,Residential,2024-01
Total,51348.340310,Residential,2024-01
Washington,1640.708537,Residential,2024-01
Amsterdam,1216.009876,Total,2024-01
Bangkok,1413.088470,Total,2024-01
Barcelona,704.224443,Total,2024-01
Beijing,12521.769773,Total,2024-01
Berlin,1725.497832,Total,2024-01
Bogota,498.559823,Total,2024-01
"Cape Town",998.249950,Total,2024-01
Chengdu,6602.177733,Total,2024-01
Chicago,9079.932744,Total,2024-01
Chongqing,13806.385171,Total,2024-01
Copenhagen,243.677667,Total,2024-01
Hangzhou,5150.998883,Total,2024-01
Helsinki,555.439950,Total,2024-01
Houston,6596.315846,Total,2024-01
Istanbul,2881.461767,Total,2024-01
Jinan,6231.225842,Total,2024-01
London,3300.689551,Total,2024-01
"Los Angeles",12259.539792,Total,2024-01
Lyon,245.324916,Total,2024-01
Madrid,1212.014692,Total,2024-01
Marseille,205.118570,Total,2024-01
Melbourne,1420.892740,Total,2024-01
"Mexico City",2892.780384,Total,2024-01
Miami,3663.185085,Total,2024-01
Milan,439.585981,Total,2024-01
Moscow,8314.703166,Total,2024-01
Munich,725.240847,Total,2024-01
Nanjing,8638.312432,Total,2024-01
"New Delhi",1669.021099,Total,2024-01
"New York",10838.015687,Total,2024-01
Nice,81.082500,Total,2024-01
Osaka,7480.256238,Total,2024-01
Oslo,266.281224,Total,2024-01
Paris,2763.489658,Total,2024-01
Qingdao,2451.207741,Total,2024-01
Rome,857.540600,Total,2024-01
"San Francisco",4350.040737,Total,2024-01
Santiago,828.200698,Total,2024-01
Seattle,2227.612068,Total,2024-01
Seoul,9409.555227,Total,2024-01
Shanghai,34291.297294,Total,2024-01
Stockholm,133.443955,Total,2024-01
Sydney,1320.385030,Total,2024-01
Tokyo,18767.541317,Total,2024-01
Washington,3943.782589,Total,2024-01
Amsterdam,100.741888,Aviation,2024-02
Bangkok,32.779105,Aviation,2024-02
Barcelona,17.734415,Aviation,2024-02
Beijing,263.344031,Aviation,2024-02
Berlin,36.281342,Aviation,2024-02
Bogota,27.984865,Aviation,2024-02
"Cape Town",37.698416,Aviation,2024-02
Chengdu,54.164599,Aviation,2024-02
Chicago,335.195425,Aviation,2024-02
Chongqing,189.744876,Aviation,2024-02
Copenhagen,5.613590,Aviation,2024-02
Hangzhou,107.442935,Aviation,2024-02
Helsinki,7.275524,Aviation,2024-02
Houston,147.011273,Aviation,2024-02
Istanbul,67.581538,Aviation,2024-02
Jinan,48.647876,Aviation,2024-02
London,220.609066,Aviation,2024-02
"Los Angeles",399.037790,Aviation,2024-02
Lyon,0.880092,Aviation,2024-02
Madrid,105.104936,Aviation,2024-02
Marseille,1.573397,Aviation,2024-02
Melbourne,44.220083,Aviation,2024-02
"Mexico City",26.518393,Aviation,2024-02
Miami,192.328670,Aviation,2024-02
Milan,14.210662,Aviation,2024-02
Moscow,40.293999,Aviation,2024-02
Munich,3.223671,Aviation,2024-02
Nanjing,53.735606,Aviation,2024-02
